Nursing summary from all date ranges
Average feedings per day: 10.1
Average minutes per feeding per day: 16.2
Average total minutes per day: 159.6

Oct 16 2017,,Feedings 3,Average 13.4 minutes,Total 40.1 minutes
7:01 pm,7:07 pm,5 minutes,Nursed from right breast,,
7:11 pm,7:18 pm,3 minutes,Nursed from right breast,,
7:22 pm,7:29 pm,6 minutes,Nursed from left breast,,
7:57 pm,8:05 pm,8 minutes,Nursed from right breast,,
8:20 pm,8:31 pm,10 minutes,Nursed from left breast,,
11:51 pm,12:03 am,9 minutes,Nursed from left breast,,

Oct 10 2017,,Feedings 11,Average 17.7 minutes,Total 194.6 minutes
Start,End,Duration,Entry,Notes,Location
12:02 am,12:04 am,2 minutes,Nursed from left breast,,
12:05 am,12:09 am,4 minutes,Nursed from right breast,,
12:10 am,12:12 am,1 minute,Nursed from right breast,,
12:15 am,12:16 am,1 minute,Nursed from right breast,,
2:58 am,3:07 am,8 minutes,Nursed from left breast,,
3:15 am,3:22 am,2 minutes,Nursed from right breast,,
5:58 am,6:10 am,12 minutes,Nursed from left breast,,
6:16 am,6:20 am,4 minutes,Nursed from right breast,,
6:25 am,6:30 am,5 minutes,Nursed from right breast,,
6:33 am,6:37 am,3 minutes,Nursed from right breast,,
6:51 am,6:59 am,7 minutes,Nursed from left breast,,
6:59 am,7:02 am,2 minutes,Nursed from left breast,,
8:22 am,8:30 am,7 minutes,Nursed from right breast,,
8:45 am,8:59 am,12 minutes,Nursed from left breast,,
9:02 am,9:07 am,5 minutes,Nursed from right breast,,
9:31 am,9:32 am,1 minute,Nursed from right breast,,
10:41 am,10:47 am,6 minutes,Nursed from left breast,,
11:03 am,11:16 am,9 minutes,Nursed from right breast,,
12:08 pm,12:17 pm,4 minutes,Nursed from left breast,,
12:22 pm,12:29 pm,7 minutes,Nursed from left breast,,
1:19 pm,1:22 pm,3 minutes,Nursed from left breast,,
1:31 pm,1:39 pm,8 minutes,Nursed from right breast,,
1:47 pm,1:51 pm,4 minutes,Nursed from left breast,,
2:09 pm,2:14 pm,5 minutes,Nursed from left breast,,
2:30 pm,2:32 pm,1 minute,Nursed from right breast,,
5:08 pm,5:14 pm,6 minutes,Nursed from right breast,,
5:17 pm,5:21 pm,4 minutes,Nursed from right breast,,
6:13 pm,6:23 pm,9 minutes,Nursed from left breast,,
6:31 pm,6:40 pm,8 minutes,Nursed from right breast,,
6:41 pm,6:44 pm,3 minutes,Nursed from right breast,,
7:26 pm,7:30 pm,3 minutes,Nursed from left breast,,
7:37 pm,7:43 pm,5 minutes,Nursed from left breast,,
7:47 pm,7:54 pm,6 minutes,Nursed from right breast,,
8:23 pm,8:25 pm,1 minute,Nursed from right breast,,
8:26 pm,8:29 pm,2 minutes,Nursed from right breast,,
8:31 pm,8:35 pm,4 minutes,Nursed from right breast,,
11:57 pm,12:04 am,6 minutes,Nursed from right breast,,

Oct 09 2017,,Feedings 13,Average 14.7 minutes,Total 190.7 minutes
Start,End,Duration,Entry,Notes,Location
12:02 am,12:12 am,10 minutes,Nursed from right breast,,
12:14 am,12:17 am,2 minutes,Nursed from left breast,,
2:09 am,2:17 am,7 minutes,Nursed from left breast,,
2:23 am,2:34 am,9 minutes,Nursed from right breast,,
5:34 am,5:45 am,11 minutes,Nursed from left breast,,
5:55 am,6:01 am,5 minutes,Nursed from right breast,,
7:18 am,7:36 am,16 minutes,Nursed from right breast,,
8:24 am,8:30 am,5 minutes,Nursed from left breast,,
8:32 am,8:40 am,6 minutes,Nursed from left breast,,
8:46 am,8:51 am,4 minutes,Nursed from left breast,,
9:08 am,9:17 am,8 minutes,Nursed from right breast,,
10:58 am,11:09 am,7 minutes,Nursed from left breast,,
11:12 am,11:16 am,4 minutes,Nursed from left breast,,
11:27 am,11:31 am,4 minutes,Nursed from right breast,,
12:08 pm,12:13 pm,5 minutes,Nursed from right breast,,
12:27 pm,12:30 pm,2 minutes,Nursed from right breast,,
1:57 pm,2:04 pm,7 minutes,Nursed from left breast,,
2:27 pm,2:31 pm,3 minutes,Nursed from right breast,,
4:25 pm,4:37 pm,8 minutes,Nursed from right breast,,
4:45 pm,4:47 pm,2 minutes,Nursed from right breast,,
5:10 pm,5:21 pm,6 minutes,Nursed from left breast,,
5:29 pm,5:41 pm,12 minutes,Nursed from left breast,,
6:20 pm,6:29 pm,5 minutes,Nursed from right breast,,
7:01 pm,7:14 pm,13 minutes,Nursed from right breast,,
7:15 pm,7:21 pm,6 minutes,Nursed from left breast,,
9:30 pm,9:34 pm,2 minutes,Nursed from right breast,,
9:35 pm,9:39 pm,4 minutes,Nursed from right breast,,
11:45 pm,11:52 pm,6 minutes,Nursed from left breast,,

